,class_value,name,volume,features
0,0,JONGDAE,175363,
1,0,Milan,88178,GPE
2,0,Game 5,54798,CARDINAL
3,0,Bryansk,51011,
4,0,Weekend 2,47843,CARDINAL
5,0,Rigged,46905,
6,0,Pelicans,36046,
7,0,Blinken,34590,
8,0,Angel Hernandez,29474,PERSON
9,0,Perdue,25366,
10,0,alvarado,24933,PERSON
11,0,Chris Paul,23393,PERSON
12,0,Schwarber,19751,DATE
13,0,Beijing,19588,GPE
14,0,Zion,17662,
15,0,bilal,17343,
16,0,Sharks,16724,
17,0,#mondaythoughts,16234,TIME
18,0,#NoMuteSpace,16059,ORG
19,0,Herb Jones,15670,PERSON
20,0,Newt,15235,
21,0,Navalny,14726,
22,0,Kemp,14669,
23,0,Brandon Ingram,14237,ORG
24,0,Pels,13655,
25,0,Monty,10976,
