name,volume,class_value
namjoon,870921,0
seokjin,467780,0
Taekook,413359,0
JEON JUNGKOOK,270153,0
hoseok,225935,0
#EXOLsCelebrateWithEXO,183745,0
Peña,156003,0
sehun,142042,0
1ΞX0 ANNIVERSARY FANMEET,131866,0
Out of Time,121339,0
Whitmer,114802,0
Min Yoongi,98276,0
kyungsoo,90856,0
baekhyun,68650,0
jongin,68322,0
Polanski,67927,0
Leclerc,59626,0
Alonso,50615,0
Xiumin,50325,0
Don Jr,50106,0
jungkooks,49464,0
Latifi,41236,0
Stroll,36685,0
NASCAR,33978,0
TOH SPOILERS,31846,0
#EVEMUN,27904,0
Peter Pan,26170,0
minseok,24942,0
Ali Alexander,21840,0
Good Saturday,20381,0
Aston Martin,18935,0
The Jazz,16286,0
Lando,14514,0
#SaturdayMorning,14399,0
LOCK HIM UP,14310,0
Jennifer Lopez,12963,0
Ben Affleck,12029,0
Mayer,11079,0
