class_value,name,volume
0,go go,2404315
0,#UFC273,322722
0,JIKOOK,245247
0,#AusGP,212637
0,#PTD_ON_STAGE_LV_DAY2,210126
0,Leclerc,152496
0,Shanghai,138976
0,Yedam,109427
0,inkigayo,97897
0,Dana,92806
0,Burns,92682
0,Korean Zombie,81484
0,#AustralianGP,76825
0,Sora,75468
0,Tank,70915
0,Ferrari,69216
0,Jay B,68364
0,Perez,68195
0,Sterling,50975
0,Verstappen,49060
0,Checo,43340
0,Torres,40099
0,Albon,37308
0,Anpanman,37251
0,Sainz,36750
0,Usman,32181
0,Red Bull,28572
0,Aljo,25541
0,Vettel,23714
0,Colby,21056
0,Volk,20669
0,Ryan Garcia,14657
0,Petr Yan,13880
0,George Russell,12533
